	ID	x	y	z	radius	volume_total	volume_nuclear_fluid	volume_nuclear_solid	volume_cytoplasmic_fluid	volume_cytoplasmic_solid	volume_calcified_fraction	phenotype	elapsed_time
0	0	261.453	273.016	0	1.75782	22.7515	1.91191e-22	0.000521173	8.33796e-18	22.751	0.000419824	102	57120
1	1	259.217	275.215	0	1.75857	22.7807	1.9583e-22	0.000523892	8.50682e-18	22.7801	0.000419824	102	57096
2	1171	325.074	555.533	0	1.75538	22.657	1.7686e-22	0.000512433	7.81196e-18	22.6565	0.000419824	102	57198
3	3	382.89	304.08	0	1.75594	22.6788	1.80069e-22	0.000514437	7.93032e-18	22.6783	0.000419824	102	57180
4	1281	373.766	600.002	0	10.451	4781.48	870.899	125.515	3305.24	479.823	0.000419824	101	342
5	5	385.93	302.951	0	1.75707	22.7224	1.86662e-22	0.000518468	8.17244e-18	22.7219	0.000419824	102	57144
6	6	217.81	297.873	0	1.75613	22.6861	1.81151e-22	0.000515107	7.97017e-18	22.6856	0.000419824	102	57174
7	7	388.433	305.022	0	1.7627	22.9416	2.2343e-22	0.000539101	9.49859e-18	22.9411	0.000419824	102	56964
8	8	216.37	295.027	0	1.75876	22.788	1.97007e-22	0.000524574	8.54957e-18	22.7874	0.000419824	102	57090
9	9	390.937	307.095	0	1.75932	22.8098	2.00581e-22	0.000526625	8.6791e-18	22.8093	0.000419824	102	57072
10	10	213.241	294.507	0	1.76101	22.8756	2.11697e-22	0.000532827	9.07961e-18	22.8751	0.000419824	102	57018
11	11	393.442	309.164	0	1.75951	22.8171	2.01787e-22	0.00052731	8.72272e-18	22.8166	0.000419824	102	57066
12	12	209.432	299.706	0	1.76157	22.8976	2.15538e-22	0.00053491	9.21717e-18	22.8971	0.000419824	102	57000
13	13	398.99	310.1	0	1.75576	22.6716	1.78993e-22	0.000513768	7.89067e-18	22.671	0.000419824	102	57186
14	14	199.904	295.101	0	1.7627	22.9416	2.2343e-22	0.000539101	9.49859e-18	22.9411	0.000419824	102	56964
15	1898	166.955	495.622	0	8.41271	2494	405	135	1465.5	488.5	0	14	16290
16	16	201.933	297.503	0	1.75519	22.6498	1.75803e-22	0.000511767	7.7729e-18	22.6493	0.000419824	102	57204
17	17	401.498	312.164	0	1.76138	22.8903	2.1425e-22	0.000534215	9.17109e-18	22.8898	0.000419824	102	57006
18	1250	340.194	12.4415	0	1.76101	22.8756	2.11697e-22	0.000532827	9.07961e-18	22.8751	0.000419824	102	57018
19	1120	305.726	64.307	0	1.76289	22.949	2.24773e-22	0.000539803	9.54632e-18	22.9484	0.000419824	102	56958
