	ID	x	y	z	radius	volume_total	volume_nuclear_fluid	volume_nuclear_solid	volume_cytoplasmic_fluid	volume_cytoplasmic_solid	volume_calcified_fraction	phenotype	elapsed_time
0	907	164.885	328.49	0	3.08912	123.479	1.01079e-08	0.496535	2.50108e-06	122.983	0.000419824	102	25482
1	553	330.997	447.293	0	2.78959	90.931	3.43248e-11	0.144486	2.15465e-08	90.7865	0.000419824	102	31176
2	2	243.814	299.343	0	2.78511	90.4934	3.13744e-11	0.141694	1.99863e-08	90.3517	0.000419824	102	31266
3	666	195.795	194.025	0	3.81683	232.914	0.000942785	5.98017	0.0357357	226.897	0.000419824	102	14004
4	679	229.648	225.541	0	2.78628	90.6076	3.21353e-11	0.142433	2.03905e-08	90.4652	0.000419824	102	31242
5	694	471.783	267.658	0	3.08932	123.503	1.01082e-08	0.496551	2.50157e-06	123.007	0.000419824	102	25482
6	801	187.109	224.578	0	3.83228	235.756	0.00116178	6.25873	0.0425505	229.453	0.000419824	102	13794
7	7	353.576	275.527	0	2.79259	91.2239	3.64443e-11	0.146378	2.26537e-08	91.0775	0.000419824	102	31116
8	1210	154.407	361.035	0	8.41271	2494	405	135	1465.5	488.5	0	14	4494
9	9	364.574	275.4	0	2.67468	80.1498	5.67381e-09	0.334306	1.3533e-06	79.8155	0.000419824	102	25548
10	970	330.925	277.164	0	2.98961	111.926	8.5749e-09	0.461875	2.06736e-06	111.465	0.000419824	102	25542
11	708	201.765	225.139	0	2.79049	91.0184	3.53627e-11	0.145408	2.20784e-08	90.873	0.000419824	102	31146
12	1183	327.639	266.484	0	4.30356	333.866	0.285798	20.848	4.225	308.507	0.000419824	102	8244
13	13	368.73	294.387	0	2.74515	86.6533	2.88204e-11	0.137206	1.8155e-08	86.5161	0.000419824	102	31314
14	14	184.19	305.65	0	2.79319	91.2826	3.68837e-11	0.146759	2.28819e-08	91.1358	0.000419824	102	31104
15	15	387.619	280.465	0	2.79348	91.3119	3.71053e-11	0.14695	2.29968e-08	91.165	0.000419824	102	31098
16	16	170.793	313.604	0	2.72091	84.3781	5.79954e-09	0.35151	1.38499e-06	84.0266	0.000419824	102	25584
17	1064	151.53	414.305	0	3.82167	233.802	0.00100675	6.06635	0.0377509	227.697	0.000419824	102	13938
18	18	154.527	315.856	0	2.78422	90.4061	3.08154e-11	0.141142	1.96881e-08	90.265	0.000419824	102	31284
19	527	277.562	443.221	0	3.09099	123.703	1.04155e-08	0.499791	2.56501e-06	123.204	0.000419824	102	25452
20	697	281.543	150.518	0	3.43105	169.188	3.2441e-06	1.74008	0.000311874	167.448	0.000419824	102	19698
21	1049	293.736	163.328	0	3.39912	164.508	3.25002e-06	1.72608	0.000306199	162.781	0.000419824	102	19668
22	878	218.801	309.943	0	3.08932	123.502	1.01082e-08	0.496551	2.50156e-06	123.006	0.000419824	102	25482
23	699	307.449	256.728	0	3.08799	123.343	9.86892e-09	0.493974	2.45196e-06	122.849	0.000419824	102	25506
24	873	149.345	329.466	0	3.09701	124.427	1.16011e-08	0.511632	2.807e-06	123.915	0.000419824	102	25344
25	25	330.134	286.945	0	3.09059	123.656	1.03532e-08	0.499137	2.55204e-06	123.157	0.000419824	102	25458
26	26	331.572	271.878	0	2.78511	90.4934	3.13744e-11	0.141694	1.99863e-08	90.3517	0.000419824	102	31266
27	947	184.412	192.107	0	3.09406	124.073	1.17932e-08	0.512978	2.83782e-06	123.56	0.000419824	102	25326
28	783	259.626	146.563	0	3.82123	233.722	0.00100076	6.05847	0.0375631	227.624	0.000419824	102	13944
29	590	264.021	439.685	0	2.79139	91.1066	3.55812e-11	0.145618	2.22042e-08	90.961	0.000419824	102	31140
30	601	244.689	149.341	0	2.78362	90.348	3.04484e-11	0.140775	1.94918e-08	90.2072	0.000419824	102	31296
31	31	315.789	281.37	0	2.79079	91.048	3.51574e-11	0.14524	2.19828e-08	90.9028	0.000419824	102	31152
32	1006	313.728	395.943	0	6.48776	1143.86	97.8191	75.5729	546.95	423.518	0.000419824	102	2304
33	33	351.116	271.009	0	2.7887	90.8433	3.37133e-11	0.143923	2.1225e-08	90.6993	0.000419824	102	31194
34	828	154.377	337.084	0	3.4289	168.87	3.12976e-06	1.72658	0.000302681	167.143	0.000419824	102	19734
35	35	247.466	308.304	0	2.7878	90.7557	3.31127e-11	0.143363	2.09083e-08	90.6123	0.000419824	102	31212
36	36	247.24	303.169	0	2.79468	91.4295	3.80054e-11	0.147717	2.34624e-08	91.2818	0.000419824	102	31074
37	974	249.316	298.41	0	3.00054	113.159	9.27084e-09	0.471439	2.21382e-06	112.687	0.000419824	102	25470
38	38	348.181	275.249	0	2.7878	90.7557	3.31127e-11	0.143363	2.09083e-08	90.6123	0.000419824	102	31212
39	690	253.885	225.846	0	2.78406	90.3904	3.08144e-11	0.141138	1.96846e-08	90.2493	0.000419824	102	31284
40	1091	158.41	414.715	0	3.43582	169.895	3.63184e-06	1.78249	0.000342195	168.112	0.000419824	102	19584
41	701	240.515	146.438	0	2.70109	82.5481	3.15312e-11	0.136391	1.90335e-08	82.4117	0.000419824	102	31152
42	1008	146.235	324.406	0	3.42852	168.814	3.11108e-06	1.72433	0.000301171	167.089	0.000419824	102	19740
43	995	339.354	275.827	0	6.34783	1071.43	86.005	73.4408	491.441	420.547	0.000419824	102	2436
44	44	212.973	251.204	0	6.3294	1062.13	84.5083	73.1547	484.32	420.143	0.000419824	102	2454
45	45	367.753	289.178	0	3.09133	123.744	1.04781e-08	0.500442	2.57789e-06	123.243	0.000419824	102	25446
46	633	174.945	328.557	0	3.09902	124.669	1.20256e-08	0.515641	2.89264e-06	124.154	0.000419824	102	25308
47	1051	160.838	333.957	0	4.30676	334.611	0.2944	20.9841	4.33088	309.002	0.000419824	102	8214
48	774	201.368	230.465	0	3.08699	123.223	9.69318e-09	0.49205	2.41539e-06	122.731	0.000419824	102	25524
49	838	140.68	382.968	0	3.08565	123.064	9.46371e-09	0.489496	2.36748e-06	122.574	0.000419824	102	25548
50	932	148.584	427.543	0	3.82432	234.289	0.00104346	6.11389	0.0388975	228.135	0.000419824	102	13902
51	51	189.923	312.618	0	2.78452	90.4352	3.10006e-11	0.141326	1.9787e-08	90.2938	0.000419824	102	31278
52	52	175.605	312.103	0	2.79187	91.1533	3.62227e-11	0.146174	2.25299e-08	91.0071	0.000419824	102	31122
53	1157	151.797	349.434	0	4.3119	335.812	0.308705	21.2036	4.50582	309.794	0.000419824	102	8166
54	615	188.87	307.605	0	2.78541	90.5225	3.15629e-11	0.141879	2.00867e-08	90.3806	0.000419824	102	31260
55	55	191.016	317.661	0	2.7887	90.8433	3.37133e-11	0.143923	2.1225e-08	90.6993	0.000419824	102	31194
56	1068	157.285	320.908	0	3.43032	169.081	3.20553e-06	1.73557	0.000308776	167.345	0.000419824	102	19710
57	57	418.776	367.793	0	2.78481	90.4643	3.11869e-11	0.14151	1.98864e-08	90.3228	0.000419824	102	31272
58	58	384.512	276.334	0	2.79378	91.3413	3.73283e-11	0.147142	2.31124e-08	91.1942	0.000419824	102	31092
59	59	175.876	317.256	0	2.78959	90.931	3.43248e-11	0.144486	2.15465e-08	90.7865	0.000419824	102	31176
60	60	167.121	310.07	0	2.7887	90.8433	3.37133e-11	0.143923	2.1225e-08	90.6993	0.000419824	102	31194
61	61	426.293	370.126	0	2.78481	90.4643	3.11869e-11	0.14151	1.98864e-08	90.3228	0.000419824	102	31272
62	62	460.013	258.643	0	2.78989	90.9602	3.45311e-11	0.144674	2.16548e-08	90.8155	0.000419824	102	31170
63	63	156.738	311.29	0	2.789	90.8725	3.39159e-11	0.144111	2.13317e-08	90.7284	0.000419824	102	31188
64	1185	145.661	374.079	0	8.41271	2494	405	135	1465.5	488.5	0	14	4494
65	518	355.705	168.423	0	2.78571	90.5516	3.17526e-11	0.142063	2.01877e-08	90.4095	0.000419824	102	31254
66	725	254.243	149.279	0	2.69145	81.6674	3.03703e-11	0.134697	1.83652e-08	81.5327	0.000419824	102	31182
67	976	205.187	317.441	0	2.95374	107.946	8.6417e-09	0.452527	2.05074e-06	107.493	0.000419824	102	25482
68	1090	165.401	315.529	0	3.43463	169.719	3.5464e-06	1.77342	0.000335519	167.945	0.000419824	102	19608
69	1065	274.042	456.376	0	3.82653	234.695	0.00107506	6.15378	0.0398796	228.5	0.000419824	102	13872
70	627	326.34	444.404	0	3.09099	123.703	1.04155e-08	0.499791	2.56501e-06	123.204	0.000419824	102	25452
71	71	143.745	329.965	0	3.06555	120.673	9.27537e-09	0.48546	2.2941e-06	120.188	0.000419824	102	25548
72	72	149.256	314.433	0	3.09768	124.508	1.17409e-08	0.512965	2.83526e-06	123.995	0.000419824	102	25332
73	1036	125.584	412.636	0	3.42701	168.591	3.03751e-06	1.71538	0.000295204	166.875	0.000419824	102	19764
74	74	322.364	262.469	0	2.79498	91.4589	3.82338e-11	0.147909	2.35803e-08	91.311	0.000419824	102	31068
75	75	324.617	287.929	0	3.09099	123.703	1.04155e-08	0.499791	2.56501e-06	123.204	0.000419824	102	25452
76	546	352.385	164.484	0	2.7887	90.8433	3.37133e-11	0.143923	2.1225e-08	90.6993	0.000419824	102	31194
77	77	288.159	394.271	0	3.09099	123.703	1.04155e-08	0.499791	2.56501e-06	123.204	0.000419824	102	25452
78	78	322.441	257.27	0	2.78388	90.3735	3.06312e-11	0.140958	1.9589e-08	90.2326	0.000419824	102	31290
79	79	346.039	270.544	0	2.79408	91.3707	3.75527e-11	0.147333	2.32285e-08	91.2234	0.000419824	102	31086
80	646	136.192	391.512	0	2.7872	90.6973	3.27183e-11	0.14299	2.06998e-08	90.5543	0.000419824	102	31224
81	81	293.443	392.988	0	2.79139	91.1066	3.55812e-11	0.145618	2.22042e-08	90.961	0.000419824	102	31140
82	82	298.388	261.123	0	3.096	124.306	1.13946e-08	0.509639	2.76514e-06	123.797	0.000419824	102	25362
83	715	172.223	229.88	0	3.09266	123.904	1.07321e-08	0.503052	2.63006e-06	123.401	0.000419824	102	25422
84	580	179.116	190.904	0	2.78511	90.4934	3.13744e-11	0.141694	1.99863e-08	90.3517	0.000419824	102	31266
85	85	215.087	314.463	0	3.08638	123.151	1.06407e-08	0.50134	2.60061e-06	122.649	0.000419824	102	25428
86	1107	415.228	373.296	0	4.30229	333.57	0.282427	20.7939	4.18338	308.31	0.000419824	102	8256
87	87	364.228	285.277	0	2.78337	90.3237	3.04467e-11	0.140769	1.94864e-08	90.1829	0.000419824	102	31296
88	901	320.37	284.297	0	3.08623	123.133	9.57763e-09	0.490766	2.3911e-06	122.642	0.000419824	102	25536
89	1073	164.018	322.092	0	3.82609	234.614	0.00106866	6.14578	0.0396812	228.427	0.000419824	102	13878
90	923	198.238	200.021	0	3.09114	123.721	1.05397e-08	0.50104	2.58948e-06	123.22	0.000419824	102	25440
91	91	337.996	385.991	0	2.78389	90.3747	3.06313e-11	0.140958	1.95892e-08	90.2337	0.000419824	102	31290
92	1103	267.048	429.122	0	3.29294	149.568	2.66133e-06	1.58147	0.000248792	147.987	0.000419824	102	19764
93	562	281.353	136.549	0	3.42663	168.535	3.01939e-06	1.71315	0.000293731	166.822	0.000419824	102	19770
94	585	136.911	386.627	0	2.79199	91.1652	3.60102e-11	0.145998	2.24278e-08	91.0192	0.000419824	102	31128
95	95	367.921	299.713	0	3.093	123.944	1.07966e-08	0.503707	2.64326e-06	123.441	0.000419824	102	25416
96	1089	379.208	285.608	0	3.43658	170.008	3.61168e-06	1.78078	0.000340855	168.227	0.000419824	102	19590
97	668	287.115	138.704	0	3.09166	123.784	1.0541e-08	0.501093	2.59084e-06	123.283	0.000419824	102	25440
98	98	179.777	308.651	0	3.07476	121.765	1.00608e-08	0.495093	2.4619e-06	121.27	0.000419824	102	25470
99	99	413.463	366.697	0	3.09382	124.044	1.0992e-08	0.505663	2.68282e-06	123.538	0.000419824	102	25398
