	ID	x	y	z	radius	volume_total	volume_nuclear_fluid	volume_nuclear_solid	volume_cytoplasmic_fluid	volume_cytoplasmic_solid	volume_calcified_fraction	phenotype	elapsed_time
0	0	301.817	287.767	0	2.93489	105.892	5.83928e-10	0.26733	2.3049e-07	105.625	0.000419824	102	28338
1	1858	318.71	220.01	0	8.4127	2493.99	405	135	1465.5	488.499	0	14	2730
2	767	405.232	184.029	0	2.93584	105.995	5.94518e-10	0.268375	2.3398e-07	105.726	0.000419824	102	28320
3	685	112.257	336.08	0	2.93956	106.399	6.38825e-10	0.272595	2.48462e-07	106.126	0.000419824	102	28248
4	849	254.908	320.202	0	2.93714	106.136	6.3824e-10	0.272388	2.47809e-07	105.864	0.000419824	102	28248
5	736	383.598	403.573	0	2.95484	108.066	8.51668e-10	0.290161	3.1603e-07	107.776	0.000419824	102	27960
6	790	357.715	390.25	0	2.93709	106.131	6.08936e-10	0.269775	2.38716e-07	105.861	0.000419824	102	28296
7	1693	226.207	187.926	0	8.21836	2325.11	381.683	130.834	1349.29	463.306	0	14	498
8	1801	186.269	263.698	0	8.41271	2494	405	135	1465.5	488.5	0	14	3516
9	574	310.106	273.936	0	2.95357	107.927	8.31502e-10	0.288655	3.0976e-07	107.638	0.000419824	102	27984
10	10	236.248	303.914	0	2.93048	105.415	5.3695e-10	0.262505	2.14877e-07	105.153	0.000419824	102	28422
11	11	396.138	336.675	0	2.94944	107.475	7.69203e-10	0.283815	2.90228e-07	107.191	0.000419824	102	28062
12	541	330.974	474.653	0	2.93174	105.551	5.49973e-10	0.263875	2.19227e-07	105.287	0.000419824	102	28398
13	695	157.764	438.547	0	2.94058	106.509	6.50416e-10	0.273663	2.52242e-07	106.235	0.000419824	102	28230
14	822	465.673	304.771	0	2.93765	106.191	6.16268e-10	0.270475	2.411e-07	105.921	0.000419824	102	28284
15	631	217.72	296.697	0	2.93678	106.097	6.05299e-10	0.269425	2.37524e-07	105.828	0.000419824	102	28302
16	16	212.379	297.359	0	2.95071	107.614	7.87858e-10	0.285296	2.96103e-07	107.329	0.000419824	102	28038
17	829	225.037	451.47	0	2.94174	106.635	6.66179e-10	0.275087	2.57321e-07	106.36	0.000419824	102	28206
18	18	130.568	287.159	0	2.93314	105.703	5.66677e-10	0.265589	2.24747e-07	105.437	0.000419824	102	28368
19	1575	199.261	265.872	0	6.61379	1211.82	194.285	80.6309	663.304	273.604	0	14	54
20	20	191.892	336.712	0	2.93016	105.381	5.33743e-10	0.262164	2.13803e-07	105.119	0.000419824	102	28428
21	21	444.291	334.584	0	2.94216	106.681	6.70194e-10	0.275449	2.5864e-07	106.405	0.000419824	102	28200
22	719	154.254	369.854	0	2.93963	106.406	6.38831e-10	0.272597	2.48479e-07	106.133	0.000419824	102	28248
23	834	142.924	198.04	0	2.93468	105.87	5.87359e-10	0.267647	2.3152e-07	105.602	0.000419824	102	28332
24	24	88.0695	311.557	0	2.93016	105.381	5.33743e-10	0.262164	2.13803e-07	105.119	0.000419824	102	28428
25	1434	108.417	230.001	0	8.41271	2494	405	135	1465.5	488.5	0	14	5580
26	26	304.886	283.346	0	2.93426	105.824	5.76973e-10	0.266635	2.28192e-07	105.557	0.000419824	102	28350
27	1962	394.373	400.421	0	8.40944	2491.09	404.739	134.968	1463.36	488.024	0	14	1368
28	28	296.25	286.544	0	2.93331	105.722	5.66696e-10	0.265597	2.24788e-07	105.456	0.000419824	102	28368
29	1998	334.487	110.692	0	8.37935	2464.45	401.658	134.48	1444.43	483.885	0	14	870
30	30	312.456	288.791	0	2.93016	105.381	5.33743e-10	0.262164	2.13803e-07	105.119	0.000419824	102	28428
31	31	260.292	319.963	0	2.93111	105.483	5.43423e-10	0.263189	2.17041e-07	105.22	0.000419824	102	28410
32	759	235.678	133.148	0	2.93237	105.619	5.56602e-10	0.264562	2.21435e-07	105.355	0.000419824	102	28386
